request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,"Pay IDR 15,656,000.00 today. This leaves at least IDR 24,768,300.00 available over the next 90 days."
request_27,6670.00,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,"Pay ZAR 6,670.00 today. This leaves at least ZAR 20,500.00 available over the next 90 days."
request_28,291.35,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 1,100.00 minimum protected."
request_29,51524.00,affordable_now,full_payment,2025-11-04:51524.00,2025-11-04,none,"Pay ZAR 51,524.00 today. This leaves at least ZAR 28,300.00 available over the next 90 days."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use installments to pay USD 775.20. This keeps the USD 900.00 minimum protected throughout the payment period.
request_31,2732930.06,affordable_later,wait,none,2024-11-15,none,"Pay IDR 18,164,000.00 in full on 2024-11-15. Paying earlier would take the balance below the IDR 16,588,900.00 minimum."
request_32,13372.45,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 35,700.00 minimum protected."
request_33,37017.35,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 102,100.00 minimum protected."
request_34,129400.00,affordable_now,full_payment,2024-12-04:129400.00,2024-12-04,none,"Pay INR 129,400.00 today. This leaves at least INR 138,500.00 available over the next 90 days."
request_35,22877.65,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 106,400.00 minimum protected."
request_36,581.33,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the USD 2,400.00 minimum protected."
request_37,4417999.25,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 17,056,200.00 minimum protected."
request_38,171.80,affordable_later,wait,none,2025-09-15,none,Pay EUR 971.30 in full on 2025-09-15. Paying earlier would take the balance below the EUR 400.00 minimum.
request_39,134993.97,affordable_later,wait,none,2026-04-15,none,"Pay INR 208,600.00 in full on 2026-04-15. Paying earlier would take the balance below the INR 213,400.00 minimum."
request_40,357.17,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 1,500.00 minimum protected."
request_41,9870720.13,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 25,366,600.00 minimum protected."
request_42,33279.54,affordable_with_plan,full_payment,2026-01-05:52100.00,2026-01-05,reduce_to:event_3950:2695.00,"Apply spending changes (reduce_to:event_3950:2695.00), then pay INR 52,100.00 today. This leaves at least INR 113,100.00 available over the next 90 days."
request_43,8342128.42,affordable_later,wait,none,2024-11-15,none,"Pay IDR 43,339,000.00 in full on 2024-11-15. Paying earlier would take the balance below the IDR 21,398,000.00 minimum."
request_44,38633.73,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 82,900.00 minimum protected."
request_45,3275615.83,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 11,149,800.00 minimum protected."
request_46,35126.66,affordable_with_plan,partial_payment,2024-12-03:35126.66|2024-12-15:14323.34,2024-12-15,none,"Pay INR 35,126.66 today and the remaining INR 14,323.34 on 2024-12-15. This completes the full request and keeps the INR 84,000.00 minimum protected."
request_47,38114000.00,affordable_now,full_payment,2025-05-05:38114000.00,2025-05-05,none,"Pay IDR 38,114,000.00 today. This leaves at least IDR 30,049,000.00 available over the next 90 days."
request_48,45700.00,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,"Pay INR 45,700.00 today. This leaves at least INR 71,300.00 available over the next 90 days."
request_49,12751170.05,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use installments to pay IDR 34,333,000.00. This keeps the IDR 20,275,700.00 minimum protected throughout the payment period."
request_50,42351.55,affordable_with_plan,full_payment,2025-08-06:43900.00,2025-08-06,reduce_to:event_4672:1928.00,"Apply spending changes (reduce_to:event_4672:1928.00), then pay INR 43,900.00 today. This leaves at least INR 99,700.00 available over the next 90 days."
request_51,2191000.00,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,"Pay IDR 2,191,000.00 today. This leaves at least IDR 7,811,000.00 available over the next 90 days."
request_52,19388.71,affordable_later,wait,none,2024-06-15,none,"Pay INR 28,870.00 in full on 2024-06-15. Paying earlier would take the balance below the INR 41,500.00 minimum."
request_53,465.18,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,,none,"Use installments to pay USD 1,699.20. This keeps the USD 2,100.00 minimum protected throughout the payment period."
request_54,1904.41,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 37,000.00 minimum protected."
request_55,128967.11,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 124,300.00 minimum protected."
